gameId,onBlueTeam,blueWins,blueWardsPlaced,blueWardKills,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsterKills,blueDragonKills,blueHeraldKills,blueTowerKills,blueTotalGold,blueAvgLvl,blueTotalExp,blueTotalMinionsKilled,blueGoldDiff,blueExpDiff,onRedTeam,redWins,redWardsPlaced,redWardKills,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsterKills,redDragonKills,redHeraldKills,redTowerKills,redTotalGold,redAvgLvl,redTotalExp,redTotalMinionsKilled,redGoldDiff,redExpDiff
3072452425,0,0,20,4,0,4,12,3,0,0,0,1,21659,8.4,25335,320,-2714,-3595,1,1,27,3,1,12,4,12,2,2,0,0,24373,9.2,28930,270,2714,3595
3072440378,0,0,19,2,0,7,8,5,0,0,0,1,23501,9,27921,318,-2291,-2024,1,1,21,4,1,8,7,9,1,1,0,2,25792,9.2,29945,326,2291,2024
3064605932,1,0,15,1,1,8,0,11,1,1,0,0,22865,9.2,27941,286,2619,1049,0,1,21,2,0,0,8,0,0,0,0,0,20246,8.6,26892,355,-2619,-1049
3061855816,0,1,24,1,1,6,5,12,1,0,1,1,22921,8.6,25813,277,2031,48,1,0,15,3,0,5,6,8,0,0,0,0,20890,8.6,25765,251,-2031,-48
3060924238,0,0,15,1,1,10,17,10,0,0,0,0,20940,8.6,25058,202,-6457,-4189,1,1,18,2,0,17,10,20,0,0,0,1,27397,9.2,29247,291,6457,4189
3060920842,1,1,21,4,0,24,8,18,1,0,1,4,30590,9.4,30957,300,10336,9873,0,0,22,4,1,8,24,7,0,0,0,0,20254,7.6,21084,225,-10336,-9873
2951468742,0,0,15,1,0,8,12,2,0,0,0,1,21398,7.8,24252,309,-5170,-5450,1,1,13,2,1,12,8,19,1,1,0,0,26568,9.2,29702,290,5170,5450
2951466938,0,0,21,3,0,6,12,0,0,0,0,1,20511,8.6,26377,240,-4937,-1576,1,1,18,2,1,12,6,20,1,1,0,1,25448,9,27953,281,4937,1576
2951464949,0,0,24,4,1,11,8,12,2,2,0,2,25688,9,26746,277,1035,-840,1,1,16,2,0,8,11,5,0,0,0,0,24653,8.8,27586,260,-1035,840
2951463419,0,0,15,2,0,8,18,6,0,0,0,1,21435,8.4,25517,255,-9579,-5396,1,1,17,0,1,18,8,19,0,0,0,2,31014,9.4,30913,304,9579,5396
2951462104,0,1,19,2,1,15,11,16,1,1,0,2,27078,9.2,29535,254,1933,2348,1,0,17,2,0,11,15,13,0,0,0,0,25145,8.8,27187,298,-1933,-2348
